Year,Population,GDP,Inflation,Happiness,Event
1,1447796971.025868,4132635718217.8843,4.96398788362281,36,Pandemic
2,1454149036.3712444,4390064364886.3076,4.1639377152588155,37,Drought
3,1462095531.2748125,4697613619094.363,4.580082870850907,38,Nothing
4,1465349638.8077927,4953999692593.907,5.457188288882407,36,Recession
5,1469346086.6855009,5197588974569.375,5.065672774801483,35,Nothing
6,1472326310.2505596,5303256264181.09,5.115222095318261,29,Recession
7,1475545791.2059994,5773590267502.178,4.580764776178869,32,Nothing
8,1483131135.1291697,6547149657147.069,4.6092336530060924,36,Economic Boom
9,1486372965.6128066,6867761596936.863,3.9502819003806753,32,Recession
10,1494987302.7841694,8071983277729.647,4.567076596613598,40,Economic Boom
11,1498072754.767107,9251975768549.068,4.049127528665621,44,Breakthrough
12,1501800188.8952847,9851123037965.754,3.1179045708960578,46,Nothing
13,1507152968.8503673,10334929465622.271,3.6286273915313627,45,Nothing
14,1513302563.0365572,10810220507944.248,2.998336302582417,42,Recession
15,1521021210.1157749,11750438864526.475,3.787991003437715,45,Nothing
16,1528488037.06089,13529413851891.465,3.928878952248514,51,Breakthrough
17,1531821530.6152055,14004853503337.76,3.706233531627478,47,Recession
18,1538192021.789625,16323748275816.584,4.636744146155754,53,Breakthrough
19,1544607488.9746864,18459056288417.63,5.241138107663834,57,Economic Boom
20,1547793312.3964481,19588198128202.246,5.030901144014973,58,Drought
